category,subcategory,chemical_type,name_cn,name_en,cas,threshold,flavor,source
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,硫醇类,,2-呋喃甲硫醇,2-Furfurylthiol (FFT),98-02-2,0.005 ppb（水）,烤咖啡、焦糖、烧焦、橡胶、烤肉香,熟肉、咖啡、高汤
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,硫醇类,,"2,5-二甲基-3-呋喃硫醇","2,5-Dimethyl-3-furanthiol",—,0.0035–0.014 ng/L（空气）,牛肉味、木质香,熟肉、咖啡、高汤
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,硫醇类,,3-巯基-2-戊酮,3-Mercapto-2-pentanone,67633-97-0,肉中 55–73 μg/kg；水阈值未检索到,烤肉味、肉香,牛肉、猪肉熟肉
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,硫醇类,,2-巯基-3-戊酮,2-Mercapto-3-pentanone,17042-24-9,肉中 20–44 μg/kg；水阈值未检索到,烤肉味,牛肉、猪肉熟肉
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,二硫化物 / 三硫化物,,二甲基三硫醚,Dimethyl trisulfide,3658-80-8,0.01 μg/L（水）,硫化物味、熟洋葱、肉香,熟肉、炖煮过程
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,二硫化物 / 三硫化物,,二甲基二硫醚,Dimethyl disulfide,624-92-0,0.01–0.25 μg/L（水）,卷心菜、葱蒜、硫化物味,肉类、洋葱、大蒜
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,二硫化物 / 三硫化物,,二甲基硫醚,Dimethyl sulfide,75-18-3,0.003 ppm（空气）,硫磺、卷心菜、萝卜味,肉类/海鲜加工
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,噻唑类 / 噻唑啉类,,2-乙酰基噻唑,2-Acetylthiazole,24295-03-2,资料列示 10 ng,坚果、爆米花、烤香、肉香,熟肉、高汤、烤香体系
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,噻唑类 / 噻唑啉类,,2-乙基-4-甲基噻唑,2-Ethyl-4-methylthiazole,15679-12-6,水/汤阈值未检索到,坚果、开心果、咖啡、硫磺、肉香,熟肉、肉汤
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,噻唑类 / 噻唑啉类,,"2,4,5-三甲基噻唑","2,4,5-Trimethylthiazole",13623-11-5,约 10 ppb（空气）,爆米花、坚果、甜味、烤香,熟肉、咖啡、马铃薯
一、肉类高汤（牛肉汤 / 鸡肉汤 / 猪肉汤）Meat Broth,噻唑类 / 噻唑啉类,,"2,5-二甲基噻唑","2,5-Dimethylthiazole",541-58-2,0.018 mg/kg（基质）,烤香、坚果,熟肉、烤香体系
